Dataset,Mixture 1,Mixture 2,Overlap,Experimental Values
Snitz 1,1,2,0.0,0.604166666667
Snitz 1,1,3,0.0,0.6510416666669999
Snitz 1,1,4,0.0,0.526041666667
Snitz 1,1,5,0.0,0.505208333333
Snitz 1,1,6,0.0,0.41145833333299997
Snitz 1,1,7,0.0,0.5625
Snitz 1,8,2,0.0,0.7552083333330001
Snitz 1,8,3,0.0,0.6848958333330001
Snitz 1,8,4,0.0,0.8489583333330001
Snitz 1,8,5,0.0,0.765625
Snitz 1,8,6,0.0,0.8072916666669999
Snitz 1,8,7,0.0,0.9010416666669999
Snitz 1,9,2,0.0,0.567708333333
Snitz 1,9,3,0.0,0.671875
Snitz 1,9,4,0.0,0.42447916666700003
Snitz 1,9,5,0.0,0.390625
Snitz 1,9,6,0.0,0.44791666666700003
Snitz 1,9,7,0.0,0.619791666667
Snitz 1,10,2,0.0,0.567708333333
Snitz 1,10,3,0.0,0.6510416666669999
Snitz 1,10,4,0.0,0.541666666667
Snitz 1,10,5,0.0,0.36979166666700003
Snitz 1,10,6,0.0,0.41145833333299997
Snitz 1,10,7,0.0,0.45833333333299997
Snitz 1,11,2,0.0,0.510416666667
Snitz 1,11,3,0.0,0.7135416666669999
Snitz 1,11,4,0.0,0.46875
Snitz 1,11,5,0.0,0.34375
Snitz 1,11,6,0.0,0.38020833333299997
Snitz 1,11,7,0.0,0.552083333333
Snitz 1,12,2,0.0,0.7708333333330001
Snitz 1,12,3,0.0,0.765625
Snitz 1,12,4,0.0,0.6979166666669999
Snitz 1,12,5,0.0,0.6822916666669999
Snitz 1,12,6,0.0,0.630208333333
Snitz 1,12,7,0.0,0.7109375
Snitz 1,13,14,0.0,0.754807692308
Snitz 1,13,15,0.0,0.701923076923
Snitz 1,13,16,0.0,0.706730769231
Snitz 1,13,17,0.0,0.581730769231
Snitz 1,13,18,0.0,0.567307692308
Snitz 1,13,19,0.0,0.822115384615
Snitz 1,20,14,0.0,0.711538461538
Snitz 1,20,15,0.0,0.5336538461539999
Snitz 1,20,16,0.0,0.754807692308
Snitz 1,20,17,0.0,0.774038461538
Snitz 1,20,18,0.0,0.721153846154
Snitz 1,20,19,0.0,0.5336538461539999
Snitz 1,21,14,0.0,0.735576923077
Snitz 1,21,15,0.0,0.711538461538
Snitz 1,21,16,0.0,0.572115384615
Snitz 1,21,17,0.0,0.5144230769229999
Snitz 1,21,18,0.0,0.5336538461539999
Snitz 1,21,19,0.0,0.682692307692
Snitz 1,22,14,0.0,0.735576923077
Snitz 1,22,15,0.0,0.682692307692
Snitz 1,22,16,0.0,0.451923076923
Snitz 1,22,17,0.0,0.427884615385
Snitz 1,22,18,0.0,0.5
Snitz 1,22,19,0.0,0.793269230769
Snitz 1,23,14,0.0,0.754807692308
Snitz 1,23,15,0.0,0.673076923077
Snitz 1,23,16,0.0,0.5
Snitz 1,23,17,0.0,0.451923076923
Snitz 1,23,18,0.0,0.418269230769
Snitz 1,23,19,0.0,0.778846153846
Snitz 1,24,14,0.0,0.778846153846
Snitz 1,24,15,0.0,0.701923076923
Snitz 1,24,16,0.0,0.735576923077
Snitz 1,24,17,0.0,0.745192307692
Snitz 1,24,18,0.0,0.778846153846
Snitz 1,24,19,0.0,0.677884615385
Snitz 1,25,26,0.0,0.711538461538
Snitz 1,25,27,0.0,0.721153846154
Snitz 1,25,28,0.0,0.629807692308
Snitz 1,25,29,0.0,0.673076923077
Snitz 1,25,30,0.0,0.663461538462
Snitz 1,25,31,0.0,0.6105769230770001
Snitz 1,32,26,0.0,0.8125
Snitz 1,32,27,0.0,0.721153846154
Snitz 1,32,28,0.0,0.793269230769
Snitz 1,32,29,0.0,0.6105769230770001
Snitz 1,32,30,0.0,0.740384615385
Snitz 1,32,31,0.0,0.754807692308
Snitz 1,33,26,0.0,0.682692307692
Snitz 1,33,27,0.0,0.615384615385
Snitz 1,33,28,0.0,0.735576923077
Snitz 1,33,29,0.0,0.5336538461539999
Snitz 1,33,30,0.0,0.519230769231
Snitz 1,33,31,0.0,0.725961538462
Snitz 1,34,26,0.0,0.6586538461539999
Snitz 1,34,27,0.0,0.634615384615
Snitz 1,34,28,0.0,0.692307692308
Snitz 1,34,29,0.0,0.524038461538
Snitz 1,34,30,0.0,0.456730769231
Snitz 1,34,31,0.0,0.692307692308
Snitz 1,35,26,0.0,0.735576923077
Snitz 1,35,27,0.0,0.6538461538460001
Snitz 1,35,28,0.0,0.673076923077
Snitz 1,35,29,0.0,0.629807692308
Snitz 1,35,30,0.0,0.5144230769229999
Snitz 1,35,31,0.0,0.6538461538460001
Snitz 1,36,26,0.0,0.769230769231
Snitz 1,36,27,0.0,0.6538461538460001
Snitz 1,36,28,0.0,0.716346153846
Snitz 1,36,29,0.0,0.807692307692
Snitz 1,36,30,0.0,0.764423076923
Snitz 1,36,31,0.0,0.826923076923
Snitz 1,37,38,0.0,0.522727272727
Snitz 1,37,39,0.0,0.625
Snitz 1,37,40,0.0,0.642045454545
Snitz 1,37,41,0.0,0.625
Snitz 1,42,39,0.0,0.528409090909
Snitz 1,42,40,0.0,0.539772727273
Snitz 1,42,41,0.0,0.471590909091
Snitz 1,3,38,0.0,0.778409090909
Snitz 1,3,39,0.0,0.7727272727269999
Snitz 1,3,40,0.0,0.7272727272730001
Snitz 1,3,41,0.0,0.693181818182
Snitz 1,43,44,0.0,0.659090909091
Snitz 1,43,38,0.0,0.6647727272730001
Snitz 1,43,45,0.0,0.840909090909
Snitz 1,43,39,0.0,0.642045454545
Snitz 1,43,40,0.0,0.653409090909
Snitz 1,43,41,0.0,0.6477272727269999
Snitz 1,43,46,0.0,0.6875
Snitz 1,47,44,0.0,0.6647727272730001
Snitz 1,47,38,0.0,0.392045454545
Snitz 1,47,45,0.0,0.7897727272730001
Snitz 1,47,39,0.0,0.5625
Snitz 1,47,40,0.0,0.488636363636
Snitz 1,47,41,0.0,0.534090909091
Snitz 1,47,46,0.0,0.619318181818
Snitz 1,48,44,0.0,0.6761363636359999
Snitz 1,48,38,0.0,0.41477272727299996
Snitz 1,48,45,0.0,0.755681818182
Snitz 1,48,39,0.0,0.44318181818200003
Snitz 1,48,40,0.0,0.346590909091
Snitz 1,48,41,0.0,0.522727272727
Snitz 1,48,46,0.0,0.528409090909
Snitz 1,49,44,0.0,0.352272727273
Snitz 1,49,38,0.0,0.454545454545
Snitz 1,49,45,0.0,0.6761363636359999
Snitz 1,49,39,0.0,0.619318181818
Snitz 1,49,40,0.0,0.6477272727269999
Snitz 1,49,41,0.0,0.590909090909
Snitz 1,49,46,0.0,0.602272727273
Snitz 2,1,2,0.0,0.571079231723
Snitz 2,1,3,0.0,0.617074811147
Snitz 2,1,4,0.08333333333333333,0.41779456411699994
Snitz 2,5,6,0.0,0.7026789188179999
Snitz 2,5,7,0.2222222222222222,0.37768018825
Snitz 2,5,3,0.0,0.403165774163
Snitz 2,2,5,0.0,0.431679374009
Snitz 2,2,6,0.1,0.688897465761
Snitz 2,8,2,0.0,0.548093474812
Snitz 2,8,9,0.08333333333333333,0.441539563561
Snitz 2,6,7,0.0,0.728967094619
Snitz 2,6,10,0.0,0.715333918881
Snitz 2,6,11,0.06666666666666667,0.621787879739
Snitz 2,12,5,0.1111111111111111,0.7077355367389999
Snitz 2,12,2,0.0,0.6715115809240001
Snitz 2,12,6,0.0,0.640651636661
Snitz 2,12,10,0.07142857142857142,0.629042939731
Snitz 2,7,1,0.0,0.641323934974
Snitz 2,7,8,0.0,0.611684523341
Snitz 2,3,12,0.0,0.7065681593229999
Snitz 2,3,13,0.15384615384615385,0.581259277582
Snitz 2,3,4,0.14285714285714285,0.448164065689
Snitz 2,3,10,0.06666666666666667,0.553118620438
Snitz 2,9,5,0.09090909090909091,0.381566352286
Snitz 2,9,12,0.0,0.699182921034
Snitz 2,9,3,0.0,0.508135923166
Snitz 2,9,14,0.058823529411764705,0.45565993858
Snitz 2,13,1,0.0,0.549520134298
Snitz 2,13,2,0.08333333333333333,0.5669438248409999
Snitz 2,13,6,0.16666666666666666,0.599266027211
Snitz 2,4,5,0.08333333333333333,0.289236252859
Snitz 2,4,8,0.0,0.483749081521
Snitz 2,4,13,0.0625,0.622244157273
Snitz 2,4,11,0.05555555555555555,0.5734456254
Snitz 2,10,9,0.0625,0.48321253482300003
Snitz 2,10,4,0.058823529411764705,0.39958602052000003
Snitz 2,14,1,0.07692307692307693,0.6566531500899999
Snitz 2,14,6,0.06666666666666667,0.6631651871529999
Snitz 2,14,7,0.13333333333333333,0.331985460051
Snitz 2,14,13,0.058823529411764705,0.595095117069
Snitz 2,14,10,0.11764705882352941,0.3470937926889999
Snitz 2,11,1,0.0,0.379850966507
Snitz 2,11,2,0.0,0.478150494948
Snitz 2,11,8,0.0,0.519923764987
Snitz 2,11,12,0.06666666666666667,0.6520602663049999
Snitz 2,11,13,0.2,0.495553599932
Snitz 2,1,5,0.0,0.36582365140199996
Snitz 2,1,8,0.0,0.6404200025119999
Snitz 2,1,6,0.1111111111111111,0.554831352326
Snitz 2,1,12,0.25,0.461249656445
Snitz 2,1,9,0.0,0.5312566617710001
Snitz 2,1,10,0.0,0.629883689323
Snitz 2,5,8,0.0,0.5235729174229999
Snitz 2,5,13,0.09090909090909091,0.623722765999
Snitz 2,5,10,0.0,0.524793970672
Snitz 2,5,14,0.0,0.434726288431
Snitz 2,5,11,0.07692307692307693,0.44445216527299997
Snitz 2,2,7,0.0,0.434875160936
Snitz 2,2,3,0.2,0.521107478702
Snitz 2,2,9,0.08333333333333333,0.43529798817200005
Snitz 2,2,4,0.16666666666666666,0.389479171047
Snitz 2,2,10,0.07692307692307693,0.409498442024
Snitz 2,2,14,0.07142857142857142,0.353717605163
Snitz 2,8,6,0.1,0.699666352285
Snitz 2,8,12,0.0,0.750056230114
Snitz 2,8,3,0.2,0.49394373533
Snitz 2,8,13,0.0,0.7664386606120001
Snitz 2,8,10,0.07692307692307693,0.537752535482
Snitz 2,8,14,0.0,0.617900830068
Snitz 2,6,3,0.08333333333333333,0.6489053254640001
Snitz 2,6,9,0.16666666666666666,0.72206056699
Snitz 2,6,4,0.07142857142857142,0.718496654047
Snitz 2,12,7,0.08333333333333333,0.661498482412
Snitz 2,12,13,0.07692307692307693,0.633933961809
Snitz 2,12,4,0.07142857142857142,0.724689658149
Snitz 2,12,14,0.0,0.608783614917
Snitz 2,7,3,0.07692307692307693,0.464489508844
Snitz 2,7,9,0.0,0.417438229554
Snitz 2,7,13,0.0,0.560994228333
Snitz 2,7,4,0.14285714285714285,0.38538853187199995
Snitz 2,7,10,0.14285714285714285,0.499030846958
Snitz 2,7,11,0.13333333333333333,0.34402908327899995
Snitz 2,3,14,0.0,0.51606532477
Snitz 2,3,11,0.0625,0.49633165323100004
Snitz 2,9,13,0.06666666666666667,0.582958927031
Snitz 2,9,4,0.0,0.414009563554
Snitz 2,9,11,0.2857142857142857,0.30900751160300005
Snitz 2,13,10,0.0625,0.60948957323
Snitz 2,4,14,0.35714285714285715,0.369436835857
Snitz 2,10,11,0.05555555555555555,0.540210831471
Snitz 2,14,11,0.05263157894736842,0.37487680621700004
Ravia,1,3,0.0,0.6152272727
Ravia,1,8,0.0,0.5515909091000001
Ravia,1,11,0.08333333333333333,0.6897727272999999
Ravia,2,5,0.0,0.59
Ravia,2,7,0.2222222222222222,0.34818181820000005
Ravia,2,8,0.0,0.4979545455
Ravia,3,2,0.0,0.5334090909
Ravia,3,5,0.1,0.4725
Ravia,4,3,0.0,0.5725
Ravia,4,9,0.08333333333333333,0.5479545455
Ravia,5,7,0.0,0.5956818182
Ravia,5,10,0.16666666666666666,0.5875
Ravia,5,14,0.06666666666666667,0.5302272726999999
Ravia,6,2,0.1111111111111111,0.8334090908999999
Ravia,6,3,0.0,0.7136363636
Ravia,6,5,0.0,0.7220454545
Ravia,6,10,0.07692307692307693,0.6293181818
Ravia,7,1,0.0,0.7009090909
Ravia,7,4,0.0,0.5306818182
Ravia,8,6,0.0,0.7981818182000001
Ravia,8,12,0.06666666666666667,0.6281818182
Ravia,8,11,0.14285714285714285,0.5331818182
Ravia,8,10,0.15384615384615385,0.6252272727
Ravia,9,2,0.09090909090909091,0.4152272727
Ravia,9,6,0.0,0.7715909091
Ravia,9,8,0.0,0.5209090908999999
Ravia,9,13,0.058823529411764705,0.5556818182
Ravia,12,1,0.0,0.6759090909
Ravia,12,3,0.07692307692307693,0.6131818182
Ravia,12,5,0.0,0.6470454545
Ravia,11,2,0.08333333333333333,0.45363636360000004
Ravia,11,4,0.0,0.6309090908999999
Ravia,11,12,0.058823529411764705,0.7377272727
Ravia,11,14,0.05555555555555555,0.46454545449999995
Ravia,10,9,0.06666666666666667,0.5859090909
Ravia,10,11,0.0625,0.6425
Ravia,13,1,0.07692307692307693,0.6795454544999999
Ravia,13,5,0.06666666666666667,0.6765909091000001
Ravia,13,7,0.13333333333333333,0.3870454545
Ravia,13,12,0.11764705882352941,0.6747727273000002
Ravia,13,10,0.058823529411764705,0.6911363636
Ravia,14,1,0.0,0.6102272727
Ravia,14,3,0.0,0.5311363636
Ravia,14,4,0.0,0.49840909089999996
Ravia,14,6,0.06666666666666667,0.8034090909
Ravia,14,12,0.05555555555555555,0.6522727273000001
Ravia,1,2,0.0,0.7195454545
Ravia,1,4,0.0,0.7790909091
Ravia,1,5,0.1111111111111111,0.40954545449999996
Ravia,1,6,0.25,0.7454545455
Ravia,1,9,0.0,0.6477272726999999
Ravia,1,10,0.0,0.6434090909
Ravia,2,4,0.0,0.39409090910000005
Ravia,2,12,0.0,0.7459090909
Ravia,2,10,0.09090909090909091,0.7034090908999999
Ravia,2,13,0.0,0.42227272730000004
Ravia,2,14,0.07692307692307693,0.395
Ravia,3,7,0.0,0.5359090908999999
Ravia,3,8,0.2,0.4856818182
Ravia,3,9,0.08333333333333333,0.5075
Ravia,3,11,0.16666666666666666,0.5043181818
Ravia,3,10,0.08333333333333333,0.6495454545
Ravia,3,13,0.07142857142857142,0.3963636364
Ravia,4,5,0.1,0.6684090909
Ravia,4,6,0.0,0.7927272727000001
Ravia,4,8,0.2,0.5131818182
Ravia,4,12,0.07692307692307693,0.6675
Ravia,4,10,0.0,0.6502272726999999
Ravia,4,13,0.0,0.5697727273000001
Ravia,5,8,0.08333333333333333,0.5736363636
Ravia,5,9,0.16666666666666666,0.6256818182
Ravia,5,11,0.07142857142857142,0.685
Ravia,6,7,0.08333333333333333,0.8372727272999999
Ravia,6,12,0.07142857142857142,0.6352272727
Ravia,6,11,0.07142857142857142,0.8495454545
Ravia,6,13,0.0,0.8188636364
Ravia,7,8,0.07692307692307693,0.4368181818
Ravia,7,9,0.0,0.47795454550000005
Ravia,7,12,0.14285714285714285,0.6840909091
Ravia,7,11,0.14285714285714285,0.33295454550000003
Ravia,7,10,0.0,0.6681818182000001
Ravia,7,14,0.13333333333333333,0.43340909089999996
Ravia,8,13,0.0,0.4331818182
Ravia,8,14,0.0625,0.4270454545
Ravia,9,12,0.0625,0.7368181817999999
Ravia,9,11,0.0,0.5465909091000001
Ravia,9,14,0.2857142857142857,0.2275
Ravia,12,10,0.0625,0.3061363636
Ravia,11,13,0.35714285714285715,0.2759090909
Ravia,10,14,0.2,0.6675
Ravia,13,14,0.05263157894736842,0.5
Ravia,1,3,0.0,0.6653999999999999
Ravia,1,8,0.0,0.644
Ravia,1,11,0.0,0.5905
Ravia,2,5,0.0,0.7491
Ravia,2,7,0.1,0.7303999999999999
Ravia,2,8,0.0,0.6204999999999999
Ravia,3,2,0.0,0.6769
Ravia,3,5,0.1,0.4322
Ravia,4,3,0.0,0.6790999999999999
Ravia,4,9,0.08333333333333333,0.6743000000000001
Ravia,5,7,0.0,0.38670000000000004
Ravia,5,10,0.07692307692307693,0.4804
Ravia,5,14,0.0,0.5720000000000001
Ravia,6,2,0.0,0.4817
Ravia,6,3,0.0,0.6019
Ravia,6,5,0.0,0.6728000000000001
Ravia,6,10,0.07692307692307693,0.5670000000000001
Ravia,7,1,0.1,0.6644
Ravia,7,4,0.0,0.6809999999999999
Ravia,8,6,0.0,0.5494
Ravia,8,12,0.0,0.5737
Ravia,8,11,0.14285714285714285,0.43420000000000003
Ravia,8,10,0.07142857142857142,0.5018
Ravia,9,2,0.09090909090909091,0.37520000000000003
Ravia,9,6,0.0,0.48979999999999996
Ravia,9,8,0.0,0.47979999999999995
Ravia,9,13,0.058823529411764705,0.5903
Ravia,12,1,0.0,0.7618
Ravia,12,3,0.07692307692307693,0.5292
Ravia,12,5,0.0,0.5235
Ravia,11,2,0.08333333333333333,0.7156999999999999
Ravia,11,4,0.0,0.7062999999999999
Ravia,11,12,0.058823529411764705,0.47729999999999995
Ravia,11,14,0.0,0.455
Ravia,10,9,0.06666666666666667,0.6539
Ravia,10,11,0.0625,0.4739
Ravia,13,1,0.0,0.7542
Ravia,13,5,0.06666666666666667,0.3202
Ravia,13,7,0.13333333333333333,0.3809
Ravia,13,12,0.1875,0.3728
Ravia,13,10,0.058823529411764705,0.4985
Ravia,14,1,0.0,0.6628000000000001
Ravia,14,3,0.0,0.5667
Ravia,14,4,0.0,0.7062
Ravia,14,6,0.14285714285714285,0.5375
Ravia,14,12,0.05555555555555555,0.5134000000000001
Ravia,1,2,0.0,0.6364
Ravia,1,4,0.125,0.27680000000000005
Ravia,1,5,0.0,0.6213000000000001
Ravia,1,6,0.25,0.4639
Ravia,1,9,0.0,0.5792
Ravia,1,10,0.0,0.6725999999999999
Ravia,2,4,0.0,0.6731
Ravia,2,12,0.0,0.8059000000000001
Ravia,2,10,0.09090909090909091,0.7725
Ravia,2,13,0.0,0.8229
Ravia,2,14,0.07692307692307693,0.6833
Ravia,3,7,0.0,0.38549999999999995
Ravia,3,8,0.2,0.4696
Ravia,3,9,0.08333333333333333,0.5183
Ravia,3,11,0.16666666666666666,0.4607
Ravia,3,10,0.0,0.5519
Ravia,3,13,0.07142857142857142,0.44670000000000004
Ravia,4,5,0.1,0.7286
Ravia,4,6,0.0,0.6528999999999999
Ravia,4,8,0.2,0.6542
Ravia,4,12,0.07692307692307693,0.8327
Ravia,4,10,0.0,0.7128
Ravia,4,13,0.0,0.7573000000000001
Ravia,5,8,0.08333333333333333,0.4579
Ravia,5,9,0.16666666666666666,0.6734
Ravia,5,11,0.15384615384615385,0.22730000000000003
Ravia,6,7,0.08333333333333333,0.7173
Ravia,6,12,0.07142857142857142,0.6940000000000001
Ravia,6,11,0.0,0.6914
Ravia,6,13,0.0,0.715
Ravia,7,8,0.07692307692307693,0.19450000000000003
Ravia,7,9,0.0,0.5282
Ravia,7,12,0.06666666666666667,0.4857
Ravia,7,11,0.06666666666666667,0.4042
Ravia,7,10,0.0,0.4841
Ravia,7,14,0.0625,0.5004
Ravia,8,13,0data/lasso/gt_with_dataset.csv.0625,0.526
Ravia,9,12,0.0625,0.7273000000000001
Ravia,9,11,0.0,0.6285000000000001
Ravia,9,14,0.2,0.5856
Ravia,12,10,0.0625,0.3837
Ravia,11,13,0.35714285714285715,0.34680000000000005
Ravia,10,14,0.2,0.2889
Ravia,13,14,0.05263157894736842,0.5396
Ravia,1,11,0.35,0.75
Ravia,2,12,0.10714285714285714,0.589285714285714
Ravia,3,13,0.25925925925925924,0.5
Ravia,4,14,0.2777777777777778,0.5
Ravia,5,15,0.2727272727272727,0.660714285714286
Ravia,6,16,0.3076923076923077,0.517857142857143
Ravia,7,17,0.29411764705882354,0.428571428571429
Ravia,8,18,0.4166666666666667,0.48214285714285693
Ravia,9,19,0.3888888888888889,0.375
Ravia,10,20,0.30303030303030304,0.75
Ravia,21,31,0.23529411764705882,0.589285714285714
Ravia,22,32,0.19444444444444445,0.910714285714286
